序号,ISBN,正书名,第一著作责任者,出版者,出版日期,操作,内容
1,9787201126227,《《零下一度》》,韩寒, 天津人民出版社,2018-03-01,CIP 版本,《零下一度》是韩寒早期随笔、杂文和短篇小说的合集，也是韩寒继《三重门》之后推出的第二部作品。这些作品，有的回忆童年，有的记述校园生活，还有的是读书笔记，反映了十八岁韩寒的人生视野和感悟。文风机智泼辣，语言幽默、诙谐，充满奇特想象。这一版《零下一度》囊括作者青春期全部优秀随笔、杂文与短篇小说作品，《杯中窥人》《穿着棉袄洗澡》《头发》《书店》《傻子》《小镇生活》等名篇全部收入，2018重新修订。
2,9787201126203,《《像少年啦飞驰》》,韩寒, 天津人民出版社,2018-03-01,CIP 版本,《像少年啦飞驰》讲述了一群年轻人的成长过程。初涉社会，人物在成长的过程中体会了社会的复杂和现实的残酷以及人心的不可探测，许多是韩寒的真实感受，是渗透阅历的写作。有失望、迷惘，但不断追求。我和铁牛从小生活在上海，我们在小学里无忧无虑地生活，讨论《圣斗士星矢》，如痴如醉地看动画片，加入所谓的帮派“黑龙帮”。后来我的女朋友陈小露和铁牛好了，我无奈的同时和铁牛依然是铁哥们。铁牛在一个暑假悄悄消失了。高中毕业后我考到了一个叫野山的地方的师范大学，在这里我认识了一个叫老夏的人。学校里大家都在混日子，成天跑到外面泡吧、踢球、闲逛。除了经常一起喝酒之外，我和老夏开始研究车，并逐渐沉迷于其中。我通过学校的辩论赛意外获得了去香港的机会，而老夏更是离奇地和校花徐小芹结成了恋人关系。我和老夏都喜欢车，老夏买了辆摩托车，在一次飙车中不小心撞伤了别人，在住院期间被学校开除。老夏离开后不久我也因为他人诬陷“偷车”而被开除。回到上海，我开始了文学创作，在一个杂志社组织的笔会上，我认识了老枪。老枪是个靠冒名写东西谋生的写手，生活过得很落魄，挣了稿费之后却奢侈地花完。经过艰难的努力，我和老枪的剧本终于成功了，赚了很多钱，可我们却更加迷茫了……
3,9787201078328,《《通稿2003》》,韩寒, 天津人民出版社,2013-02-01,CIP 版本,这是21岁时的韩寒写的一本关于中国教育现状的杂文集。他用17个问题集中针对现行教育体制下出现的各种现象，从学生视角出发，提出了自已的看法，观点鲜明尖锐，文笔幽默老辣。首本修订版《通稿二零零三》中，为原书中17个问题大幅度新增1万字内容，直观韩寒10年来对这些关心话题的思考轨迹。
4,9787201126159,《《长安乱》》,韩寒, 天津人民出版社,2018-03-01,CIP 版本,武林纷乱，争夺武林盟主的宝座，首当其冲的就是武林两大门派—一少林和武当。 少林派中有一个五岁进入少林的少年，这个少年身怀异禀，天赋不同，玩世不恭。 他十八岁下山闯荡江湖，他得到了老头赠送的当世奇兵，使他夺取了武林盟主的称号。可是他却最终选择了归隐山林。 我出生未知，父母不详，却不知为何有一个师父。我从小受困，四面高墙，一样不知为何。 我懂事的时候命运安排我目睹武林中最浩大的一场比武。 当时江湖中有两个派系，便是少林和武当，少林的势力比武当强大一点，因为大家都觉得长头发很难打理……
5,9787201078335,《《韩寒五年文集》》,韩寒, 天津人民出版社,2013-01-01,CIP 版本,这本书是初涉社会，梦想变现实的尝试，有失望、迷惘，但不断追求。这部作品一出来就经受了翻版市场的冲击，并在成都、重庆、合肥等地大行其道。是什么东西促使这种情况的发生呢？是韩寒的名气？还是与他年龄不相符的才气？也许我们能在这部小说中找到答案……铁牛以后就有了一个习惯，就是上课中无论什么时候，在国家需要他的时候就会挺身而出支援建设。在小学四年级的时候，我和铁牛双双留级，理由是考试的时候铁牛看我的试卷。偷看是没有错的，错就错在铁牛偷看的是我的，但是我因为没有及格留级了，所以铁牛也付出了代价。四年级我和铁牛念了两次，在暑假的时候被我们的父母严厉管教，使我和铁牛上山当和尚的梦想破灭。
6,9787201126265,《《就这么漂来漂去》》,韩寒, 天津人民出版社,2018-03-01,CIP 版本,"《就这么漂来漂去》是韩寒对自己2003至2014赛车生涯的回顾与总结，用充满激情的文字，描述了自己赛车生涯漂来漂去的日子，特立独行的生活岁月，充满艰难与快乐的赛车经历，以及他对人生的感悟和对青春的诠释。透过这本作品，读者可以看到一个真实的韩寒，一个为赛车热血而执著的韩寒。★""要知道坚固的事物都要经过烈火的锤炼，这火光既不能温暖我身，也不能焚毁我心。""★""每个人的身体，都有厚的地方，它们各不相同，有些人厚的是手上的老茧，有些人厚的是背上的污垢，有些人厚的是脸上的老皮，我愿自己厚的是心脏的肌肉。""★""做事是你的原则，碎嘴是他人的权利，历史只会记得你的作品和荣誉，而不会留下一事无成者的闲言碎语。""《就这么漂来漂去》图文并茂，将韩寒赛车多年来的故事一一道尽，从菜鸟车手到双料冠军，从一无所有到专属的6号赛车，通过一系列充满速度、激情、血性、梦想的文字与照片，为你细数韩寒车手生涯的辛酸苦辣，展现他一路追逐赛车梦的真实写照。掌声与光环，嘲笑与质疑，成绩是*好的回应。韩寒笔下描绘的不仅是他在成为一名专业车手道路上的所感所想，更是一种不屈逆境的人生态度。"
7,9787201126210,《《一座城池》》,韩寒, 天津人民出版社,2018-03-01,CIP 版本,"《一座城池》是韩寒创作的青春流浪小说，有里程碑之称。它有话剧版，电影版，但毫无疑问读原著才能百分百领略原汁原味的""韩式""文字。这是个关于城市的故事。从学校肄业的""我""因为一场乌龙的意外杀人事件，和朋友""健叔""从上海逃到了一个城镇。健叔是高我一年的同学，我们住在长江旅馆里，整日在这个城市里闲晃。后来我们认识了新朋友王超，从此，王超和他的桑塔纳就和我们混在了一起。我们跟着王超去他的学校看姑娘，无意中参与了一次行为艺术，这让我忆起了自杀身亡的同桌和他短暂的爱情。我们仍然在这个城市里闲晃着。我不时做着我的奇特的梦，想着我曾经的女朋友……韩寒在书里写道：""世界上真是有很多人没有安全感，而且想来人应该大抵上都是这样的。只是我不明白为什么人们都要把这些所谓的安全感托付在一些身外之物上，比如房子或者在银行的存款。这地球是如此不可靠地悬在宇宙之中，地震、战争、经济崩溃等等会随时把我们的身外之物夺走。所以我不明白为什么这些随时都要失去的东西能带给人安全感。"""
8,9787201126517,《《杂的文》》,韩寒, 天津人民出版社,2018-03-01,CIP 版本,韩寒首部杂文集的zui终版本全新修订，此后不再有。这本书集合了以韩寒自己独特的思考方式为基础的杂文，评论时事、人文、电影、艺术、赛车等等。什么样的事让韩寒有直指人心的气魄；什么样的人会引起韩寒的注意；什么样的电影值得韩寒一说。韩寒说：没有分量的文字是没有力量的。
9,9787201126173,《《他的国》》,韩寒, 天津人民出版社,2018-03-01,CIP 版本,"      《他的国》的主人公叫左小龙，是个年轻人，他有一辆自己存钱买的新摩托车，有属于自己的平静的小镇生活。读者通过左小龙骑着摩托车四处游荡，认识了他的朋友大帅，认识了从在学校起就爱上他的纯情少女泥巴，以及小镇中当街高声播放黄色歌曲的杂货店主。左小龙试图用自己的摩托车声盖过那黄色歌曲声，但他失败了，摩托车爆缸了，左小龙被迫去修他修不起的摩托车，去找他可找可不找的工作。而故事便从这里开始讲起。""《他的国》讲的是一个关于他的国的故事。我不想说，每个人心里都有一个国，我是*讨厌'每个人心里都有一个'这句话的，它可以套任何的名词，而且没有任何意义，每个人心里都有一个你大爷。事实上，有些人的心里就是没有很多东西，哪怕是穿过内心的深处挖到肝里也没有。""这是韩寒本人对这部作品的评价。"
10,9787201126524,《《可爱的洪水猛兽》》,韩寒, 天津人民出版社,2018-03-01,CIP 版本,"      2008年是中国不折不扣的""大事年""，在这样的时刻，韩寒独立、智慧的声音尤其显得卓尔不凡。本书汇集了他在2008大事年的博客文章，文章所涉大至南方雪灾、汶川地震、奥运会，小至抵制家乐福、单双号限行……现在重新阅读，更有""立此存照""的非凡意义。"
