交易时间,ID,金额,截止时间,用户,状态
2019/4/26,S001S001001,10,2019/5/10,None,FREE
2019/4/27,S001S001002,10,2019/5/10,B001,USED
2019/4/28,S001S001003,10,2019/5/10,None,FREE
2019/5/1,S001S001004,10,2019/5/10,None,FREE
2019/4/26,S001S001005,10,2019/5/10,B002,FREE
2019/4/27,S001S001006,20,2019/5/10,B003,USED
2019/4/26,S001S001007,20,2019/5/10,None,FREE
2019/5/13,S001S001008,20,2019/5/10,B004,USED
2019/4/27,S001S001009,20,2019/5/10,B005,FREE
2019/4/28,S001S001010,30,2019/5/10,None,FREE
2019/4/18,S001J001001,50,2019/5/10,B006,USED
2019/4/19,S001J001002,50,2019/5/10,B007,USED
2019/4/20,S001J001003,50,2019/5/10,B008,FREE
2019/4/18,S001J001004,50,2019/5/10,None,FREE
2019/4/23,S001J001005,40,2019/5/10,B009,USED
2019/4/18,S001J001006,40,2019/5/10,None,FREE
2019/4/18,S001J001007,40,2019/5/10,None,FREE
2019/5/15,S001J001008,40,2019/5/10,B010,USED
2019/4/20,S001J001009,60,2019/5/10,None,FREE
2019/4/18,S001J001010,60,2019/5/10,B011,USED
2019/4/27,S002S002001,10,2019/5/12,B012,USED
2019/4/27,S002S002002,20,2019/5/12,B013,FREE
2019/4/28,S002S002003,70,2019/5/12,B014,USED
2019/4/29,S002S002004,50,2019/5/12,None,FREE
2019/4/27,S002S002005,60,2019/5/12,None,FREE
2019/4/27,S002S002006,60,2019/5/12,B015,FREE
2019/4/28,S002S002007,60,2019/5/12,None,FREE
2019/4/29,S002S002008,60,2019/5/12,B016,USED
2019/4/30,S002S002009,60,2019/5/12,None,FREE
2019/5/13,S002S002010,80,2019/5/12,B017,USED
2019/4/30,S002J001001,40,2019/5/12,B018,FREE
2019/4/30,S002J001002,60,2019/5/12,None,FREE
2019/4/30,S002J001003,30,2019/5/12,None,FREE
2019/4/30,S002J001004,90,2019/5/12,B019,USED
2019/4/30,S002J001005,50,2019/5/12,B020,USED
